"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"A. Michael Spence","male","1943-00-00","Montclair, NJ","USA","Montclair, NJ","USA","North America","745","745","2001","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","2","1/3","2001-10-10","received","for their analyses of markets with asymmetric information",10000000,"Stanford University","Stanford University","Stanford, CA","USA","Stanford, CA","USA","North America"
"Aage N. Bohr","male","1922-06-19","Copenhagen","Denmark","Copenhagen","Denmark","Europe","102","102","1975","Physics","The Nobel Prize in Physics","1","1/3","1975-10-17","received","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection",630000,"Niels Bohr Institute","Niels Bohr Institute","Copenhagen","Denmark","Copenhagen","Denmark","Europe"
"Aaron Ciechanover","male","1947-10-01","Haifa","British Protectorate of Palestine","Haifa","Israel","Asia","779","779","2004","Chemistry","The Nobel Prize in Chemistry","1","1/3","2004-10-06","received","for the discovery of ubiquitin-mediated protein degradation",10000000,"Technion - Israel Institute of Technology","Technion - Israel Institute of Technology","Haifa","Israel","Haifa","Israel","Asia"
"Aaron Klug","male","1926-08-11","Zelvas","Lithuania","Zelvas","Lithuania","Europe","259","259","1982","Chemistry","The Nobel Prize in Chemistry","1","1","1982-10-18","received","for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes",1150000,"MRC Laboratory of Molecular Biology","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Abdulrazak Gurnah","male","1948-00-00",,,,,,"1004","1004","2021","Literature","The Nobel Prize in Literature","1","1","2021-10-07","received","for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents",10000000,,,,,,,
"Abdus Salam","male","1926-01-29","Jhang Maghi?na","India","Jhang Maghi?na","Pakistan","Asia","114","114","1979","Physics","The Nobel Prize in Physics","2","1/3","1979-10-15","received","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,"International Centre for Theoretical Physics","International Centre for Theoretical Physics","Trieste","Italy","Trieste","Italy","Europe"
"Abdus Salam","male","1926-01-29","Jhang Maghi?na","India","Jhang Maghi?na","Pakistan","Asia","114","114","1979","Physics","The Nobel Prize in Physics","2","1/3","1979-10-15","received","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,"Imperial College","Imperial College","London","United Kingdom","London","United Kingdom","Europe"
"Abhijit Banerjee","male","1961-02-21","Mumbai","India","Mumbai","India","Asia","982","982","2019","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/3","2019-10-14","received","for their experimental approach to alleviating global poverty",9000000,"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Abiy Ahmed Ali","male","1976-08-15","Beshasha","Ethiopia","Beshasha","Ethiopia","Africa","981","981","2019","Peace","The Nobel Peace Prize","1","1","2019-10-11","received","for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",9000000,,,,,,,
"Ada E. Yonath","female","1939-06-22","Jerusalem","British Mandate of Palestine","Jerusalem","Israel","Asia","843","843","2009","Chemistry","The Nobel Prize in Chemistry","3","1/3","2009-10-07","received","for studies of the structure and function of the ribosome",10000000,"Weizmann Institute of Science","Weizmann Institute of Science","Rehovot","Israel","Rehovot","Israel","Asia"
"Adam G. Riess","male","1969-12-16","Washington, D.C.","USA","Washington, D.C.","USA","North America","866","866","2011","Physics","The Nobel Prize in Physics","3","1/4","2011-10-04","received","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae",10000000,"Johns Hopkins University","Johns Hopkins University","Baltimore, MD","USA","Baltimore, MD","USA","North America"
"Adam G. Riess","male","1969-12-16","Washington, D.C.","USA","Washington, D.C.","USA","North America","866","866","2011","Physics","The Nobel Prize in Physics","3","1/4","2011-10-04","received","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae",10000000,"Space Telescope Science Institute","Space Telescope Science Institute","Baltimore, MD","USA","Baltimore, MD","USA","North America"
"Adolf Butenandt","male","1903-03-24","Bremerhaven-Lehe","Germany","Bremerhaven-Lehe","Germany","Europe","199","199","1939","Chemistry","The Nobel Prize in Chemistry","1","1/2","1939-11-09","received","for his work on sex hormones",148822,"Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie","Berlin-Dahlem","Germany","Berlin-Dahlem","Germany","Europe"
"Adolf Butenandt","male","1903-03-24","Bremerhaven-Lehe","Germany","Bremerhaven-Lehe","Germany","Europe","199","199","1939","Chemistry","The Nobel Prize in Chemistry","1","1/2","1939-11-09","received","for his work on sex hormones",148822,"Berlin University","Berlin University","Berlin","Germany","Berlin","Germany","Europe"
"Adolf von Baeyer","male","1835-10-31","Berlin","Prussia","Berlin","Germany","Europe","164","164","1905","Chemistry","The Nobel Prize in Chemistry","1","1","1905-11-09","received","in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,"Munich University","Munich University","Munich","Germany","Munich","Germany","Europe"
"Adolf Windaus","male","1876-12-25","Berlin","Germany","Berlin","Germany","Europe","185","185","1928","Chemistry","The Nobel Prize in Chemistry","1","1","1928-11-13","received","for the services rendered through his research into the constitution of the sterols and their connection with the vitamins",156939,"Goettingen University","Goettingen University","Göttingen","Germany","Göttingen","Germany","Europe"
"Adolfo Pérez Esquivel","male","1931-11-26","Buenos Aires","Argentina","Buenos Aires","Argentina","South America","541","541","1980","Peace","The Nobel Peace Prize","1","1","1980-10-27","received","for being a source of inspiration to repressed people, especially in Latin America",880000,,,,,,,
"Ahmed Zewail","male","1946-02-26","Damanhur","Egypt","Damanhur","Egypt","Africa","292","292","1999","Chemistry","The Nobel Prize in Chemistry","1","1","1999-10-12","received","for his studies of the transition states of chemical reactions using femtosecond spectroscopy",7900000,"California Institute of Technology (Caltech)","California Institute of Technology (Caltech)","Pasadena, CA","USA","Pasadena, CA","USA","North America"
"Akira Suzuki","male","1930-09-12","Mukawa","Japan","Mukawa","Japan","Asia","853","853","2010","Chemistry","The Nobel Prize in Chemistry","3","1/3","2010-10-06","received","for palladium-catalyzed cross couplings in organic synthesis",10000000,"Hokkaido University","Hokkaido University","Sapporo","Japan","Sapporo","Japan","Asia"
"Akira Yoshino","male","1948-01-30","Suita","Japan","Suita","Japan","Asia","978","978","2019","Chemistry","The Nobel Prize in Chemistry","3","1/3","2019-10-09","received","for the development of lithium-ion batteries",9000000,"Asahi Kasei Corporation","Asahi Kasei Corporation","Tokyo","Japan","Tokyo","Japan","Asia"
"Akira Yoshino","male","1948-01-30","Suita","Japan","Suita","Japan","Asia","978","978","2019","Chemistry","The Nobel Prize in Chemistry","3","1/3","2019-10-09","received","for the development of lithium-ion batteries",9000000,"Meijo University","Meijo University","Nagoya","Japan","Nagoya","Japan","Asia"
"Al Gore","male","1948-03-31","Washington, D.C.","USA","Washington, D.C.","USA","North America","819","819","2007","Peace","The Nobel Peace Prize","2","1/2","2007-10-12","received","for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",10000000,,,,,,,
"Alain Aspect","male","1947-06-15","Agen","France","Agen","France","Europe","1012","1012","2022","Physics","The Nobel Prize in Physics","1","1/3","2022-10-04","received","for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,"Institut d’Optique Graduate School – Université Paris-Saclay","Institut d’Optique Graduate School – Université Paris-Saclay","Paris","France","Paris","France","Europe"
"Alain Aspect","male","1947-06-15","Agen","France","Agen","France","Europe","1012","1012","2022","Physics","The Nobel Prize in Physics","1","1/3","2022-10-04","received","for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,"École Polytechnique","École Polytechnique","Palaiseau","France","Palaiseau","France","Europe"
"Alan Heeger","male","1936-01-22","Sioux City, IA","USA","Sioux City, IA","USA","North America","729","729","2000","Chemistry","The Nobel Prize in Chemistry","1","1/3","2000-10-10","received","for the discovery and development of conductive polymers",9000000,"University of California","University of California","Santa Barbara, CA","USA","Santa Barbara, CA","USA","North America"
"Alan Hodgkin","male","1914-02-05","Banbury","United Kingdom","Banbury","United Kingdom","Europe","376","376","1963","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1963-10-17","received","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane",265000,"University of Cambridge","University of Cambridge","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Alan MacDiarmid","male","1927-04-14","Masterton","New Zealand","Masterton","New Zealand","Oceania","730","730","2000","Chemistry","The Nobel Prize in Chemistry","2","1/3","2000-10-10","received","for the discovery and development of conductive polymers",9000000,"University of Pennsylvania","University of Pennsylvania","Philadelphia, PA","USA","Philadelphia, PA","USA","North America"
"Albert A. Michelson","male","1852-12-19","Strelno","Prussia","Strzelno","Poland","Europe","11","11","1907","Physics","The Nobel Prize in Physics","1","1","1907-11-12","received","for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid",138796,"University of Chicago","University of Chicago","Chicago, IL","USA","Chicago, IL","USA","North America"
"Albert Camus","male","1913-11-07","Mondovi","French Algeria","Mondovi","Algeria","Africa","628","628","1957","Literature","The Nobel Prize in Literature","1","1","1957-10-17","received","for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",208629,,,,,,,
"Albert Claude","male","1898-08-24","Longlier","Belgium","Longlier","Belgium","Europe","403","403","1974","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","1974-10-10","received","for their discoveries concerning the structural and functional organization of the cell",550000,"Université Catholique de Louvain","Université Catholique de Louvain","Louvain","Belgium","Louvain","Belgium","Europe"
"Albert Einstein","male","1879-03-14","Ulm","Germany","Ulm","Germany","Europe","26","26","1921","Physics","The Nobel Prize in Physics","1","1","1922-11-09","received","for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",121573,"Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik","Berlin","Germany","Berlin","Germany","Europe"
"Albert Fert","male","1938-03-07","Carcassonne","France","Carcassonne","France","Europe","814","814","2007","Physics","The Nobel Prize in Physics","1","1/2","2007-10-09","received","for the discovery of Giant Magnetoresistance",10000000,"Universit&eacute; Paris-Sud","Universit&eacute; Paris-Sud","Orsay","France","Orsay","France","Europe"
"Albert Fert","male","1938-03-07","Carcassonne","France","Carcassonne","France","Europe","814","814","2007","Physics","The Nobel Prize in Physics","1","1/2","2007-10-09","received","for the discovery of Giant Magnetoresistance",10000000,"Unit&eacute; Mixte de Physique CNRS/THALES","Unit&eacute; Mixte de Physique CNRS/THALES","Orsay","France","Orsay","France","Europe"
"Albert Gobat","male","1843-05-21","Tramelan","Switzerland","Tramelan","Switzerland","Europe","465","465","1902","Peace","The Nobel Peace Prize","2","1/2","1902-12-10","received","for his eminently practical administration of the Inter-Parliamentary Union",141847,,,,,,,
"Albert Lutuli","male","1898-00-00","Bulawayo","Southern Rhodesia","Bulawayo","Zimbabwe","Africa","519","519","1960","Peace","The Nobel Peace Prize","1","1","1961-10-23","received","for his non-violent struggle against apartheid",225987,,,,,,,
"Albert Schweitzer","male","1875-01-14","Kaysersberg","Germany","Kaysersberg","France","Europe","513","513","1952","Peace","The Nobel Peace Prize","1","1","1953-10-30","received","for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",171135,,,,,,,
"Albert Szent-Györgyi","male","1893-09-16","Budapest","Austria-Hungary","Budapest","Hungary","Europe","332","332","1937","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1937-10-28","received","for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",158463,"Szeged University","Szeged University","Szeged","Hungary","Szeged","Hungary","Europe"
"Albrecht Kossel","male","1853-09-16","Rostock","Mecklenburg","Rostock","Germany","Europe","304","304","1910","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1910-10-20","received","in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",140703,"University of Heidelberg","University of Heidelberg","Heidelberg","Germany","Heidelberg","Germany","Europe"
"Aleksandr M. Prokhorov","male","1916-07-11","Atherton","Australia","Atherton","Australia","Oceania","83","83","1964","Physics","The Nobel Prize in Physics","3","1/4","1964-10-29","received","for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",273000,"P.N. Lebedev Physical Institute","P.N. Lebedev Physical Institute","Moscow","USSR","Moscow","Russia","Europe"
"Aleksandr Solzhenitsyn","male","1918-12-11","Kislovodsk","Russia","Kislovodsk","Russia","Europe","644","644","1970","Literature","The Nobel Prize in Literature","1","1","1970-10-08","received","for the ethical force with which he has pursued the indispensable traditions of Russian literature",400000,,,,,,,
"Aleksey Yekimov ","male","1945-00-00","Leningrad","USSR","St. Petersburg","Russia","Europe","1031","1031","2023","Chemistry","The Nobel Prize in Chemistry","3","1/3","2023-10-04","received","for the discovery and synthesis of quantum dots",11000000,"Nanocrystals Technology Inc.","Nanocrystals Technology Inc.","New York, NY","USA","New York, NY","USA","North America"
"Ales Bialiatski","male","1962-09-25","Vyartsilya, Karelia","Russia","Vyartsilya, Karelia","Russia","Europe","1018","1018","2022","Peace","The Nobel Peace Prize","1","1/3","2022-10-07","received","The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",10000000,,,,,,,
"Alexei Abrikosov","male","1928-06-25","Moscow","USSR","Moscow","Russia","Europe","766","766","2003","Physics","The Nobel Prize in Physics","1","1/3","2003-10-07","received","for pioneering contributions to the theory of superconductors and superfluids",10000000,"Argonne National Laboratory","Argonne National Laboratory","Argonne, IL","USA","Argonne, IL","USA","North America"
"Alexis Carrel","male","1873-06-28","Sainte-Foy-l?s-Lyon","France","Sainte-Foy-l?s-Lyon","France","Europe","306","306","1912","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1912-10-10","received","in recognition of his work on vascular suture and the transplantation of blood vessels and organs",140476,"Rockefeller Institute for Medical Research","Rockefeller Institute for Medical Research","New York, NY","USA","New York, NY","USA","North America"
"Alfonso García Robles","male","1911-03-20","Zamora","Mexico","Zamora","Mexico","North America","544","544","1982","Peace","The Nobel Peace Prize","2","1/2","1982-10-13","received","for their work for disarmament and nuclear and weapon-free zones",1150000,,,,,,,
"Alfred D. Hershey","male","1908-12-04","Owosso, MI","USA","Owosso, MI","USA","North America","392","392","1969","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1969-10-16","received","for their discoveries concerning the replication mechanism and the genetic structure of viruses",375000,"Carnegie Institution of Washington","Carnegie Institution of Washington","Long Island, New York, NY","USA","Long Island, New York, NY","USA","North America"
"Alfred Fried","male","1864-11-11","Vienna","Austria","Vienna","Austria","Europe","479","479","1911","Peace","The Nobel Peace Prize","2","1/2","1911-12-10","received","for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",140695,,,,,,,
"Alfred G. Gilman","male","1941-07-01","New Haven, CT","USA","New Haven, CT","USA","North America","450","450","1994","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","1994-10-10","received","for their discovery of G-proteins and the role of these proteins in signal transduction in cells",7000000,"University of Texas Southwestern Medical Center at Dallas","University of Texas Southwestern Medical Center at Dallas","Dallas, TX","USA","Dallas, TX","USA","North America"
"Alfred Kastler","male","1902-05-03","Guebwiller","Germany","Guebwiller","France","Europe","87","87","1966","Physics","The Nobel Prize in Physics","1","1","1966-11-03","received","for the discovery and development of optical methods for studying Hertzian resonances in atoms",300000,"École Normale Supérieure","École Normale Supérieure","Paris","France","Paris","France","Europe"
"Alfred Werner","male","1866-12-12","Mulhouse","France","Mulhouse","France","Europe","174","174","1913","Chemistry","The Nobel Prize in Chemistry","1","1","1913-11-11","received","in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry",143010,"University of Zurich","University of Zurich","Zurich","Switzerland","Zurich","Switzerland","Europe"
"Alice Munro","female","1931-07-10","Wingham","Canada","Wingham","Canada","North America","892","892","2013","Literature","The Nobel Prize in Literature","1","1","2013-10-10","received","master of the contemporary short story",8000000,,,,,,,
"Allan M. Cormack","male","1924-02-23","Johannesburg","South Africa","Johannesburg","South Africa","Africa","417","417","1979","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","1979-10-11","received","for the development of computer assisted tomography",800000,"Tufts University","Tufts University","Medford, MA","USA","Medford, MA","USA","North America"
"Allvar Gullstrand","male","1862-06-05","Landskrona","Sweden","Landskrona","Sweden","Europe","305","305","1911","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1911-10-19","received","for his work on the dioptrics of the eye",140695,"Uppsala University","Uppsala University","Uppsala","Sweden","Uppsala","Sweden","Europe"
"Alphonse Laveran","male","1845-06-18","Paris","France","Paris","France","Europe","300","300","1907","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1907-10-31","received","in recognition of his work on the role played by protozoa in causing diseases",138796,"Institut Pasteur","Institut Pasteur","Paris","France","Paris","France","Europe"
"Alva Myrdal","female","1902-01-31","Uppsala","Sweden","Uppsala","Sweden","Europe","543","543","1982","Peace","The Nobel Peace Prize","1","1/2","1982-10-13","received","for their work for disarmament and nuclear and weapon-free zones",1150000,,,,,,,
"Alvin E. Roth","male","1951-12-18","New York, NY","USA","New York, NY","USA","North America","882","882","2012","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/2","2012-10-15","received","for the theory of stable allocations and the practice of market design",8000000,"Harvard University","Harvard University","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Alvin E. Roth","male","1951-12-18","New York, NY","USA","New York, NY","USA","North America","882","882","2012","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/2","2012-10-15","received","for the theory of stable allocations and the practice of market design",8000000,"Harvard Business School","Harvard Business School","Boston, MA","USA","Boston, MA","USA","North America"
"Amartya Sen","male","1933-11-03","Santiniketan","India","Santiniketan","India","Asia","719","719","1998","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1","1998-10-14","received","for his contributions to welfare economics",7600000,"Trinity College","Trinity College","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
,,,,,,,,"509","509","1947","Peace","The Nobel Peace Prize","2","1/2","1947-10-30","received","for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",146115,,,,,,,
,,,,,,,,"537","537","1977","Peace","The Nobel Peace Prize","1","1","1977-10-10","received","for worldwide respect for human rights",700000,,,,,,,
"Anatole France","male","1844-04-16","Paris","France","Paris","France","Europe","590","590","1921","Literature","The Nobel Prize in Literature","1","1","1921-11-10","received","in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",121573,,,,,,,
"André F. Cournand","male","1895-09-24","Paris","France","Paris","France","Europe","360","360","1956","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","1956-10-18","received","for their discoveries concerning heart catheterization and pathological changes in the circulatory system",200123,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY","USA","New York, NY","USA","North America"
"Andre Geim","male","1958-10-21","Sochi","Russia","Sochi","Russia","Europe","849","849","2010","Physics","The Nobel Prize in Physics","1","1/2","2010-10-05","received","for groundbreaking experiments regarding the two-dimensional material graphene",10000000,"University of Manchester","University of Manchester","Manchester","United Kingdom","Manchester","United Kingdom","Europe"
"André Gide","male","1869-11-22","Paris","France","Paris","France","Europe","618","618","1947","Literature","The Nobel Prize in Literature","1","1","1947-11-13","received","for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",146115,,,,,,,
"André Lwoff","male","1902-05-08","Ainay-le-Château","France","Ainay-le-Château","France","Europe","381","381","1965","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1965-10-14","received","for their discoveries concerning genetic control of enzyme and virus synthesis",282000,"Institut Pasteur","Institut Pasteur","Paris","France","Paris","France","Europe"
"Andrea Ghez","female","1965-06-16","New York, NY","USA","New York, NY","USA","North America","990","990","2020","Physics","The Nobel Prize in Physics","3","1/4","2020-10-06","received","for the discovery of a supermassive compact object at the centre of our galaxy",10000000,"University of California","University of California","Los Angeles, CA","USA","Los Angeles, CA","USA","North America"
"Andrei Sakharov","male","1921-05-21","Moscow","Russia","Moscow","Russia","Europe","534","534","1975","Peace","The Nobel Peace Prize","1","1","1975-10-09","received","for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",630000,,,,,,,
"Andrew Huxley","male","1917-11-22","Hampstead","United Kingdom","Hampstead","United Kingdom","Europe","377","377","1963","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1963-10-17","received","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane",265000,"University College","University College","London","United Kingdom","London","United Kingdom","Europe"
"Andrew V. Schally","male","1926-11-30","Wilno","Poland","Vilnius","Lithuania","Europe","412","412","1977","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/4","1977-10-13","received","for their discoveries concerning the peptide hormone production of the brain",700000,"Veterans Administration Hospital","Veterans Administration Hospital","New Orleans, LA","USA","New Orleans, LA","USA","North America"
"Andrew Z. Fire","male","1959-04-27","Stanford, CA","USA","Stanford, CA","USA","North America","802","802","2006","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","2006-10-02","received","for their discovery of RNA interference - gene silencing by double-stranded RNA",10000000,"Stanford University School of Medicine","Stanford University School of Medicine","Stanford, CA","USA","Stanford, CA","USA","North America"
"Angus Deaton","male","1945-10-19","Edinburgh","Scotland","Edinburgh","Scotland","Europe","926","926","2015","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1","2015-10-12","received","for his analysis of consumption, poverty, and welfare",8000000,"Princeton University","Princeton University","Princeton, NJ","USA","Princeton, NJ","USA","North America"
"Anne L’Huillier","female","1958-08-16","Paris","France","Paris","France","Europe","1028","1028","2023","Physics","The Nobel Prize in Physics","3","1/3","2023-10-03","received","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter",11000000,"Lund University","Lund University","Lund","Sweden","Lund","Sweden","Europe"
"Annie Ernaux","female","1940-09-01","Lillebonne","France","Lillebonne","France","Europe","1017","1017","2022","Literature","The Nobel Prize in Literature","1","1","2022-10-06","received","for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",10000000,,,,,,,
"Anthony J. Leggett","male","1938-03-26","London","United Kingdom","London","United Kingdom","Europe","768","768","2003","Physics","The Nobel Prize in Physics","3","1/3","2003-10-07","received","for pioneering contributions to the theory of superconductors and superfluids",10000000,"University of Illinois","University of Illinois","Urbana, IL","USA","Urbana, IL","USA","North America"
"Anton Zeilinger","male","1945-05-20","Ried im Innkreis","Austria","Ried im Innkreis","Austria","Europe","1014","1014","2022","Physics","The Nobel Prize in Physics","3","1/3","2022-10-04","received","for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,"University of Vienna","University of Vienna","Vienna","Austria","Vienna","Austria","Europe"
"Anton Zeilinger","male","1945-05-20","Ried im Innkreis","Austria","Ried im Innkreis","Austria","Europe","1014","1014","2022","Physics","The Nobel Prize in Physics","3","1/3","2022-10-04","received","for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,"Institute for Quantum Optics and Quantum Information, Austrian Academy of Sciences","Institute for Quantum Optics and Quantum Information, Austrian Academy of Sciences","Vienna","Austria","Vienna","Austria","Europe"
"Antony Hewish","male","1924-05-11","Fowey","United Kingdom","Fowey","United Kingdom","Europe","101","101","1974","Physics","The Nobel Prize in Physics","2","1/2","1974-10-15","received","for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",550000,"University of Cambridge","University of Cambridge","Cambridge","United Kingdom","Cambridge","United Kingdom","Europe"
"Anwar al-Sadat","male","1918-12-25","Mit Abu al-Kawm","Egypt","Mit Abu al-Kawm","Egypt","Africa","538","538","1978","Peace","The Nobel Peace Prize","1","1/2","1978-10-27","received","for jointly having negotiated peace between Egypt and Israel in 1978",725000,,,,,,,
"Archer J.P. Martin","male","1910-03-01","London","United Kingdom","London","United Kingdom","Europe","214","214","1952","Chemistry","The Nobel Prize in Chemistry","1","1/2","1952-11-06","received","for their invention of partition chromatography",171135,"National Institute for Medical Research","National Institute for Medical Research","London","United Kingdom","London","United Kingdom","Europe"
"Archibald V. Hill","male","1886-09-26","Bristol","United Kingdom","Bristol","United Kingdom","Europe","311","311","1922","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/2","1922-10-25","received","for his discovery relating to the production of heat in the muscle",122483,"London University","London University","London","United Kingdom","London","United Kingdom","Europe"
"Ardem Patapoutian","male","1967-00-00","Beirut","Lebanon","Beirut","Lebanon","Asia","998","998","2021","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","2021-10-04","received","for their discoveries of receptors for temperature and touch",10000000,"Scripps Research","Scripps Research","La Jolla, CA","USA","La Jolla, CA","USA","North America"
"Ardem Patapoutian","male","1967-00-00","Beirut","Lebanon","Beirut","Lebanon","Asia","998","998","2021","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","2021-10-04","received","for their discoveries of receptors for temperature and touch",10000000,"Howard Hughes Medical Institute","Howard Hughes Medical Institute",,"USA",,"USA","North America"
"Arieh Warshel","male","1940-11-20","Kibbutz Sde-Nahum","British Mandate of Palestine","Kibbutz Sde-Nahum","Israel","Asia","891","891","2013","Chemistry","The Nobel Prize in Chemistry","3","1/3","2013-10-09","received","for the development of multiscale models for complex chemical systems",8000000,"University of Southern California","University of Southern California","Los Angeles, CA","USA","Los Angeles, CA","USA","North America"
"Aristide Briand","male","1862-03-28","Nantes","France","Nantes","France","Europe","490","490","1926","Peace","The Nobel Peace Prize","1","1/2","1926-12-10","received","for their crucial role in bringing about the Locarno Treaty",116960,,,,,,,
"Arne Tiselius","male","1902-08-10","Stockholm","Sweden","Stockholm","Sweden","Europe","208","208","1948","Chemistry","The Nobel Prize in Chemistry","1","1","1948-11-04","received","for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",159773,"Uppsala University","Uppsala University","Uppsala","Sweden","Uppsala","Sweden","Europe"
"Arno Penzias","male","1933-04-26","Munich","Germany","Munich","Germany","Europe","111","111","1978","Physics","The Nobel Prize in Physics","2","1/4","1978-10-17","received","for their discovery of cosmic microwave background radiation",725000,"Bell Laboratories","Bell Laboratories","Holmdel, NJ","USA","Holmdel, NJ","USA","North America"
