"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"Steven Weinberg","male","1933-05-03","New York, NY","USA","New York, NY","USA","North America","115","115","1979","Physics","The Nobel Prize in Physics","3","1/3","1979-10-15","received","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,"Harvard University","Harvard University","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Subrahmanyan Chandrasekhar","male","1910-10-19","Lahore","India","Lahore","Pakistan","Asia","122","122","1983","Physics","The Nobel Prize in Physics","1","1/2","1983-10-19","received","for his theoretical studies of the physical processes of importance to the structure and evolution of the stars",1500000,"University of Chicago","University of Chicago","Chicago, IL","USA","Chicago, IL","USA","North America"
"Sully Prudhomme","male","1839-03-16","Paris","France","Paris","France","Europe","569","569","1901","Literature","The Nobel Prize in Literature","1","1","1901-11-14","received","in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",150782,,,,,,,
"Sune K. Bergström","male","1916-01-10","Stockholm","Sweden","Stockholm","Sweden","Europe","425","425","1982","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","1982-10-11","received","for their discoveries concerning prostaglandins and related biologically active substances",1150000,"Karolinska Institutet","Karolinska Institutet","Stockholm","Sweden","Stockholm","Sweden","Europe"
"Susumu Tonegawa","male","1939-09-05","Nagoya","Japan","Nagoya","Japan","Asia","436","436","1987","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1987-10-12","received","for his discovery of the genetic principle for generation of antibody diversity",2175000,"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Svante Arrhenius","male","1859-02-19","Vik","Sweden","Vik","Sweden","Europe","162","162","1903","Chemistry","The Nobel Prize in Chemistry","1","1","1903-11-12","received","in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation",141358,"Stockholm University","Stockholm University","Stockholm","Sweden","Stockholm","Sweden","Europe"
"Svante Pääbo","male","1955-04-20","Stockholm","Sweden","Stockholm","Sweden","Europe","1011","1011","2022","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","2022-10-03","received","for his discoveries concerning the genomes of extinct hominins and human evolution",10000000,"Max Planck Institute for Evolutionary Anthropology","Max Planck Institute for Evolutionary Anthropology","Leipzig","Germany","Leipzig","Germany","Europe"
"Svante Pääbo","male","1955-04-20","Stockholm","Sweden","Stockholm","Sweden","Europe","1011","1011","2022","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","2022-10-03","received","for his discoveries concerning the genomes of extinct hominins and human evolution",10000000,"Okinawa Institute of Science and Technology","Okinawa Institute of Science and Technology","Okinawa","Japan","Okinawa","Japan","Asia"
"Svetlana Alexievich","female","1948-05-31","Ivano-Frankivsk","Ukraine","Ivano-Frankivsk","Ukraine","Europe","924","924","2015","Literature","The Nobel Prize in Literature","1","1","2015-10-08","received","for her polyphonic writings, a monument to suffering and courage in our time",8000000,,,,,,,
"Sydney Brenner","male","1927-01-13","Germiston","South Africa","Germiston","South Africa","Africa","750","750","2002","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1/3","2002-10-07","received","for their discoveries concerning genetic regulation of organ development and programmed cell death'",10000000,"The Molecular Sciences Institute","The Molecular Sciences Institute","Berkeley, CA","USA","Berkeley, CA","USA","North America"
"Syukuro Manabe","male","1931-09-21","Shingu, Ehime","Japan","Shingu, Ehime","Japan","Asia","999","999","2021","Physics","The Nobel Prize in Physics","1","1/4","2021-10-05","received","for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",10000000,"Princeton University","Princeton University","Princeton, NJ","USA","Princeton, NJ","USA","North America"
